Sample ID,sidecolor,status,Operator,Trial,MTF30_x_Blue,MTF30_x_Green,MTF30_x_Red,MTF30_y_Blue,MTF30_y_Green,MTF30_y_Red,CRA_x_Blue(arcmin),CRA_x_Green(arcmin),CRA_x_Red(arcmin),CRA_y_Blue(arcmin),CRA_y_Green(arcmin),CRA_y_Red(arcmin),CRA_x_diff(Green-Red),CRA_y_diff(Green-Red)
19b152.09.22,BlueRight,cut,Adrian,1,22.64705882,20.42857143,0,20.90909091,20.4,0,-0.44,0.11,0,1.76,1.64,0,0.11,1.64
19b152.09.22,BlueRight,cut,Adrian,2,22.1875,20.28571429,0,20.95454545,20.5,0,-0.43,0.1,0,1.77,1.58,0,0.1,1.58
19b152.09.22,BlueRight,cut,Adrian,3,22.76470588,20.90909091,0,21.13043478,20.8,0,-0.4,0.02,0,1.73,1.65,0,0.02,1.65
19b152.09.32,BlueRight,cut,Adrian,1,8.87804878,17.08333333,0,10.36111111,16.92307692,0,1.54,0.71,0,2.25,2.2,0,0.71,2.2
19b152.09.32,BlueRight,cut,Adrian,2,9.595238095,17.58333333,0,10.84210526,17.18518519,0,1.63,0.71,0,2.16,2.19,0,0.71,2.19
19b152.09.32,BlueRight,cut,Adrian,3,9.125,17.2,0,10.56756757,17.03703704,0,1.6,0.74,0,2.24,2.21,0,0.74,2.21
19b152.10.11,BlueRight,cut,Adrian,1,15.13333333,20.61111111,0,9.208333333,17.4,0,-1.2,-0.51,0,-1.58,-0.08,0,-0.51,-0.08
19b152.10.11,BlueRight,cut,Adrian,2,15.2,20.5,0,9.130434783,17.3,0,-1.2,-0.45,0,-1.56,-0.08,0,-0.45,-0.08
19b152.10.11,BlueRight,cut,Adrian,3,13.35714286,19.45,0,7.725,17.26315789,0,-1.27,-0.51,0,-1.52,-0.05,0,-0.51,-0.05
19b152.13.12,BlueRight,cut,Adrian,1,19.70833333,22.77272727,0,19.22727273,21.33333333,0,-3.56,-2.13,0,2.88,2.42,0,-2.13,2.42
19b152.13.12,BlueRight,cut,Adrian,2,19.30434783,22.5,0,18.95454545,21.04761905,0,-3.55,-2.13,0,2.88,2.4,0,-2.13,2.4
19b152.13.12,BlueRight,cut,Adrian,3,18.83333333,21.83333333,0,19,20.9,0,-3.69,-2.22,0,2.93,2.43,0,-2.22,2.43
19b157.05.22,RedRight,cut,Adrian,1,0,11.07317073,19.71428571,0,10.37931034,17.66666667,0,0.3,-0.27,0,-0.19,-0.08,0.57,-0.11
19b157.05.22,RedRight,cut,Adrian,2,0,11.025,19.85,0,10.1,18.14285714,0,0.31,-0.2,0,-0.21,-0.13,0.51,-0.08
19b157.05.22,RedRight,cut,Adrian,3,0,11.41025641,20.68181818,0,10.43333333,18.18181818,0,0.27,-0.23,0,-0.26,-0.09,0.5,-0.17
19b157.07.21,RedRight,cut,Adrian,1,0,16.125,18.42857143,0,16.9,17.23809524,0,0.09,-0.6,0,-1.63,-0.72,0.69,-0.91
19b157.07.21,RedRight,cut,Adrian,2,0,15.93333333,17.16,0,17.21052632,17.38095238,0,0.04,-0.62,0,-1.59,-0.73,0.66,-0.86
19b157.07.21,RedRight,cut,Adrian,3,0,15.51851852,17.44,0,15.92857143,16.86956522,0,0.02,-0.64,0,-1.55,-0.69,0.66,-0.86
19b157.07.22,RedRight,cut,Adrian,1,0,13.08,17.8,0,13.53846154,17,0,1.35,-0.25,0,-0.11,0.78,1.6,-0.89
19b157.07.22,RedRight,cut,Adrian,2,0,13.5,17.6,0,14.5,17.6,0,1.36,-0.23,0,-0.16,0.76,1.59,-0.92
19b157.07.22,RedRight,cut,Adrian,3,0,14.24137931,18.95454545,0,15.83333333,17.94444444,0,1.48,-0.17,0,-0.17,0.78,1.65,-0.95
19b157.07.31,RedRight,cut,Adrian,1,0,13.71875,16.81481481,0,14,18.15,0,4.16,1.97,0,-3.91,-1.99,2.19,-1.92
19b157.07.31,RedRight,cut,Adrian,2,0,13.90909091,16,0,14.15,17.69565217,0,4.1,1.98,0,-3.89,-1.99,2.12,-1.9
19b157.07.31,RedRight,cut,Adrian,3,0,13.34482759,16.46153846,0,13.69444444,17.875,0,4.06,1.91,0,-3.89,-1.94,2.15,-1.95
19b157.10.21,RedRight,cut,Adrian,1,0,11.08,16.56521739,0,12.04347826,17.28571429,0,0.45,-0.14,0,-2.04,-1,0.59,-1.04
19b157.10.21,RedRight,cut,Adrian,2,0,12,16.13043478,0,13,17.76190476,0,0.51,-0.11,0,-2.05,-0.94,0.62,-1.11
19b157.10.21,RedRight,cut,Adrian,3,0,11.75862069,17.54166667,0,12.69565217,17.76190476,0,0.47,-0.11,0,-2.04,-0.98,0.58,-1.06
19b157.11.22,RedRight,cut,Adrian,1,0,15.47826087,19,0,14.71428571,18.04545455,0,0.42,-0.74,0,-0.66,0.58,1.16,-1.24
19b157.11.22,RedRight,cut,Adrian,2,0,15.96296296,19.45,0,16.59090909,19.08695652,0,0.43,-0.58,0,-0.66,0.52,1.01,-1.18
19b157.11.22,RedRight,cut,Adrian,3,0,15.7037037,19.5,0,16.04761905,18.81818182,0,0.4,-0.62,0,-0.63,0.56,1.02,-1.19
19b158.10.32,BlueRight,cut,Adrian,1,13.75675676,17.48148148,0,16,18.8,0,1.48,1.01,0,1.62,1.97,0,1.01,1.97
19b158.10.32,BlueRight,cut,Adrian,2,14.06451613,17.92307692,0,15.93103448,19.04,0,1.54,1.03,0,1.57,1.96,0,1.03,1.96
19b158.10.32,BlueRight,cut,Adrian,3,14.40625,18.54545455,0,15.89655172,19.20833333,0,1.52,1.04,0,1.49,1.94,0,1.04,1.94
19b158.12.22,BlueRight,cut,Adrian,1,25.88888889,25.78947368,0,20.19047619,22.10526316,0,0.96,0.76,0,0.24,1,0,0.76,1
19b158.12.22,BlueRight,cut,Adrian,2,25.94444444,25.83333333,0,20.23809524,22.10526316,0,0.9,0.72,0,0.27,1.02,0,0.72,1.02
19b158.12.22,BlueRight,cut,Adrian,3,25.84210526,26.44444444,0,20.04545455,22.47368421,0,0.92,0.72,0,0.16,1.03,0,0.72,1.03
19b171.04.22,BlueRight,cut,Adrian,1,26.42105263,25.89473684,0,22.2,22.94736842,0,1.03,0.77,0,0.72,1.29,0,0.77,1.29
19b171.04.22,BlueRight,cut,Adrian,2,26.52631579,25.9,0,22.2,23,0,1.04,0.82,0,0.7,1.25,0,0.82,1.25
19b171.04.22,BlueRight,cut,Adrian,3,26.27777778,25.63157895,0,22.05,22.73684211,0,1.02,0.78,0,0.73,1.24,0,0.78,1.24
19b171.05.11,BlueRight,cut,Adrian,1,9.722222222,14.31578947,0,7.418181818,13.25,0,-1.15,0.09,0,-1.54,0.36,0,0.09,0.36
19b171.05.11,BlueRight,cut,Adrian,2,9.088235294,12.23809524,0,7,12.6,0,-1.16,0.05,0,-1.54,0.42,0,0.05,0.42
19b171.05.11,BlueRight,cut,Adrian,3,9.428571429,13.28571429,0,7.12962963,12.89655172,0,-1.16,0.1,0,-1.51,0.36,0,0.1,0.36
