UUID,TestItem,TestValue
c02dd5fa-88b5-11ea-85a4-309c2391d63e,SerialNumber,MTF_test
c02dd5fa-88b5-11ea-85a4-309c2391d63e,StationID,MTF#2
c02dd5fa-88b5-11ea-85a4-309c2391d63e,Operator,Zhida
c02dd5fa-88b5-11ea-85a4-309c2391d63e,DataProcessVersion,V1.0
c02dd5fa-88b5-11ea-85a4-309c2391d63e,ProcessingStartTime,20200427T113438
c02dd5fa-88b5-11ea-85a4-309c2391d63e,ProcessingEndTime,20200427T113438
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.391
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.371
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
c02dd5fa-88b5-11ea-85a4-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.8766666666666667
c02dd5fa-88b5-11ea-85a4-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.9983333333333335
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.441
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.379
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
c02dd5fa-88b5-11ea-85a4-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.12000000000000001
c02dd5fa-88b5-11ea-85a4-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.68
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.424
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.386
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,22
c02dd5fa-88b5-11ea-85a4-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,19
c02dd5fa-88b5-11ea-85a4-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.5983333333333333
c02dd5fa-88b5-11ea-85a4-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.7983333333333333
